"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 14 10:24:28 UTC 2022","Fri Oct 14 10:24:34 UTC 2022","5645","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","18","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","8","","test_pipeline","TestPipeline","","","config job",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","11","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","7","","test_pipeline","TestPipeline","","","test stop job",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","7","","test_pipeline","TestPipeline","","","test get job status",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","19","","test_pipeline","TestPipeline","","","filter row in sync",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","10","","test_pipeline","TestPipeline","","","table merge in sync",""
"failed","Fri Oct 14 10:24:34 UTC 2022","Fri Oct 14 10:24:39 UTC 2022","5188","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","11","","test_pipeline","TestPipeline","","","test_check",""
"failed","Fri Oct 14 10:24:39 UTC 2022","Fri Oct 14 10:24:49 UTC 2022","10309","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","8","","test_pipeline","TestPipeline","","","js udf in sync",""
"failed","Fri Oct 14 10:24:49 UTC 2022","Fri Oct 14 10:24:54 UTC 2022","5159","","test_datasource","TestDataSource","","","test mysql form valid",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","10","","test_pipeline","TestPipeline","","","filter column in sync",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","7","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","11","","test_pipeline","TestPipeline","","","rename column in sync",""
"broken","Fri Oct 14 10:25:05 UTC 2022","Fri Oct 14 10:25:05 UTC 2022","32","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"failed","Fri Oct 14 10:24:54 UTC 2022","Fri Oct 14 10:25:04 UTC 2022","10178","","test_datasource","TestDataSource","","","create PG datasource with form",""
"broken","Fri Oct 14 10:25:04 UTC 2022","Fri Oct 14 10:25:04 UTC 2022","0","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
