"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 19 03:09:05 UTC 2022","Wed Oct 19 03:09:05 UTC 2022","29","","test_pipeline","TestPipeline","","","test get job status",""
"broken","Wed Oct 19 03:09:04 UTC 2022","Wed Oct 19 03:09:04 UTC 2022","14","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"failed","Wed Oct 19 03:08:28 UTC 2022","Wed Oct 19 03:08:33 UTC 2022","5753","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"failed","Wed Oct 19 03:08:49 UTC 2022","Wed Oct 19 03:08:54 UTC 2022","5187","","test_datasource","TestDataSource","","","test mysql form valid",""
"broken","Wed Oct 19 03:09:05 UTC 2022","Wed Oct 19 03:09:05 UTC 2022","17","","test_pipeline","TestPipeline","","","test_check",""
"failed","Wed Oct 19 03:08:54 UTC 2022","Wed Oct 19 03:09:04 UTC 2022","10266","","test_datasource","TestDataSource","","","create PG datasource with form",""
"broken","Wed Oct 19 03:09:05 UTC 2022","Wed Oct 19 03:09:05 UTC 2022","18","","test_pipeline","TestPipeline","","","filter row in sync",""
"broken","Wed Oct 19 03:09:05 UTC 2022","Wed Oct 19 03:09:05 UTC 2022","25","","test_pipeline","TestPipeline","","","rename column in sync",""
"failed","Wed Oct 19 03:08:33 UTC 2022","Wed Oct 19 03:08:39 UTC 2022","5162","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"failed","Wed Oct 19 03:08:39 UTC 2022","Wed Oct 19 03:08:49 UTC 2022","10273","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"broken","Wed Oct 19 03:09:05 UTC 2022","Wed Oct 19 03:09:05 UTC 2022","15","","test_pipeline","TestPipeline","","","test stop job",""
"broken","Wed Oct 19 03:09:05 UTC 2022","Wed Oct 19 03:09:05 UTC 2022","14","","test_pipeline","TestPipeline","","","config job",""
"broken","Wed Oct 19 03:09:05 UTC 2022","Wed Oct 19 03:09:05 UTC 2022","22","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Wed Oct 19 03:09:05 UTC 2022","Wed Oct 19 03:09:05 UTC 2022","24","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Wed Oct 19 03:09:05 UTC 2022","Wed Oct 19 03:09:05 UTC 2022","15","","test_pipeline","TestPipeline","","","table merge in sync",""
"broken","Wed Oct 19 03:09:05 UTC 2022","Wed Oct 19 03:09:05 UTC 2022","18","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Wed Oct 19 03:09:05 UTC 2022","Wed Oct 19 03:09:05 UTC 2022","14","","test_pipeline","TestPipeline","","","filter column in sync",""
"broken","Wed Oct 19 03:09:04 UTC 2022","Wed Oct 19 03:09:04 UTC 2022","0","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"broken","Wed Oct 19 03:09:04 UTC 2022","Wed Oct 19 03:09:04 UTC 2022","35","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
