"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","6","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","6","","test_pipeline","TestPipeline","","","table merge in sync",""
"failed","Fri Oct 21 03:35:09 UTC 2022","Fri Oct 21 03:35:14 UTC 2022","5131","","test_datasource","TestDataSource","","","test mysql form valid",""
"failed","Fri Oct 21 03:34:48 UTC 2022","Fri Oct 21 03:34:54 UTC 2022","5493","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","9","","test_pipeline","TestPipeline","","","test stop job",""
"failed","Fri Oct 21 03:35:14 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","10116","","test_datasource","TestDataSource","","","create PG datasource with form",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","7","","test_pipeline","TestPipeline","","","filter column in sync",""
"failed","Fri Oct 21 03:34:54 UTC 2022","Fri Oct 21 03:34:59 UTC 2022","5103","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","24","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","6","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","0","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","7","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","7","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","6","","test_pipeline","TestPipeline","","","test_check",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","6","","test_pipeline","TestPipeline","","","test get job status",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","7","","test_pipeline","TestPipeline","","","filter row in sync",""
"failed","Fri Oct 21 03:34:59 UTC 2022","Fri Oct 21 03:35:09 UTC 2022","10209","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","10","","test_pipeline","TestPipeline","","","rename column in sync",""
"broken","Fri Oct 21 03:35:24 UTC 2022","Fri Oct 21 03:35:24 UTC 2022","6","","test_pipeline","TestPipeline","","","config job",""
