"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","11","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"failed","Mon Oct 24 14:39:46 UTC 2022","Mon Oct 24 14:39:51 UTC 2022","5128","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","6","","test_pipeline","TestPipeline","","","test_check",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","6","","test_pipeline","TestPipeline","","","rename column in sync",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","6","","test_pipeline","TestPipeline","","","table merge in sync",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","6","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","9","","test_pipeline","TestPipeline","","","js udf in sync",""
"failed","Mon Oct 24 14:39:51 UTC 2022","Mon Oct 24 14:40:02 UTC 2022","10178","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","0","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"failed","Mon Oct 24 14:40:02 UTC 2022","Mon Oct 24 14:40:07 UTC 2022","5094","","test_datasource","TestDataSource","","","test mysql form valid",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","8","","test_pipeline","TestPipeline","","","test stop job",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","11","","test_pipeline","TestPipeline","","","filter column in sync",""
"failed","Mon Oct 24 14:39:41 UTC 2022","Mon Oct 24 14:39:46 UTC 2022","5455","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","26","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"failed","Mon Oct 24 14:40:07 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","10114","","test_datasource","TestDataSource","","","create PG datasource with form",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","6","","test_pipeline","TestPipeline","","","test get job status",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","13","","test_pipeline","TestPipeline","","","config job",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","9","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Mon Oct 24 14:40:17 UTC 2022","Mon Oct 24 14:40:17 UTC 2022","9","","test_pipeline","TestPipeline","","","filter row in sync",""
