"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","0","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"failed","Thu Oct 20 09:13:21 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","10185","","test_datasource","TestDataSource","","","create PG datasource with form",""
"failed","Thu Oct 20 09:13:00 UTC 2022","Thu Oct 20 09:13:05 UTC 2022","5178","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","11","","test_pipeline","TestPipeline","","","rename column in sync",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","18","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","9","","test_pipeline","TestPipeline","","","test get job status",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","15","","test_pipeline","TestPipeline","","","filter column in sync",""
"failed","Thu Oct 20 09:13:16 UTC 2022","Thu Oct 20 09:13:21 UTC 2022","5209","","test_datasource","TestDataSource","","","test mysql form valid",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","15","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","12","","test_pipeline","TestPipeline","","","config job",""
"failed","Thu Oct 20 09:12:54 UTC 2022","Thu Oct 20 09:13:00 UTC 2022","5682","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","11","","test_pipeline","TestPipeline","","","test stop job",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","16","","test_pipeline","TestPipeline","","","filter row in sync",""
"failed","Thu Oct 20 09:13:05 UTC 2022","Thu Oct 20 09:13:16 UTC 2022","10280","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","32","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","16","","test_pipeline","TestPipeline","","","test_check",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","12","","test_pipeline","TestPipeline","","","table merge in sync",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","19","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Thu Oct 20 09:13:31 UTC 2022","Thu Oct 20 09:13:31 UTC 2022","13","","test_pipeline","TestPipeline","","","js udf in sync",""
