"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","10","","test_pipeline","TestPipeline","","","config job",""
"failed","Mon Oct 24 12:42:13 UTC 2022","Mon Oct 24 12:42:23 UTC 2022","10220","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","9","","test_pipeline","TestPipeline","","","rename column in sync",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","11","","test_pipeline","TestPipeline","","","test get job status",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","9","","test_pipeline","TestPipeline","","","test stop job",""
"failed","Mon Oct 24 12:42:03 UTC 2022","Mon Oct 24 12:42:08 UTC 2022","5420","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","8","","test_pipeline","TestPipeline","","","table merge in sync",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","10","","test_pipeline","TestPipeline","","","js udf in sync",""
"failed","Mon Oct 24 12:42:08 UTC 2022","Mon Oct 24 12:42:13 UTC 2022","5179","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","8","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","1","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","10","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","12","","test_pipeline","TestPipeline","","","test_check",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","76","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","13","","test_pipeline","TestPipeline","","","filter column in sync",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","8","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Mon Oct 24 12:42:39 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","8","","test_pipeline","TestPipeline","","","filter row in sync",""
"failed","Mon Oct 24 12:42:23 UTC 2022","Mon Oct 24 12:42:29 UTC 2022","5156","","test_datasource","TestDataSource","","","test mysql form valid",""
"failed","Mon Oct 24 12:42:29 UTC 2022","Mon Oct 24 12:42:39 UTC 2022","10189","","test_datasource","TestDataSource","","","create PG datasource with form",""
