"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","11","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","10","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","16","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","16","","test_pipeline","TestPipeline","","","test stop job",""
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","9","","test_pipeline","TestPipeline","","","filter row in sync",""
"failed","Fri Oct 21 07:55:35 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","10219","","test_datasource","TestDataSource","","","create PG datasource with form",""
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","6","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","8","","test_pipeline","TestPipeline","","","js udf in sync",""
"failed","Fri Oct 21 07:55:20 UTC 2022","Fri Oct 21 07:55:30 UTC 2022","10297","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"broken","Fri Oct 21 07:55:46 UTC 2022","Fri Oct 21 07:55:46 UTC 2022","10","","test_pipeline","TestPipeline","","","test_check",""
"failed","Fri Oct 21 07:55:09 UTC 2022","Fri Oct 21 07:55:14 UTC 2022","5609","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"failed","Fri Oct 21 07:55:14 UTC 2022","Fri Oct 21 07:55:19 UTC 2022","5177","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","31","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","14","","test_pipeline","TestPipeline","","","rename column in sync",""
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","9","","test_pipeline","TestPipeline","","","table merge in sync",""
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","9","","test_pipeline","TestPipeline","","","filter column in sync",""
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","12","","test_pipeline","TestPipeline","","","test get job status",""
"broken","Fri Oct 21 07:55:45 UTC 2022","Fri Oct 21 07:55:45 UTC 2022","8","","test_pipeline","TestPipeline","","","config job",""
"failed","Fri Oct 21 07:55:30 UTC 2022","Fri Oct 21 07:55:35 UTC 2022","5153","","test_datasource","TestDataSource","","","test mysql form valid",""
