"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 14 09:14:21 UTC 2022","Fri Oct 14 09:14:21 UTC 2022","9","","test_pipeline","TestPipeline","","","js udf in sync",""
"failed","Fri Oct 14 09:13:56 UTC 2022","Fri Oct 14 09:14:06 UTC 2022","10292","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"broken","Fri Oct 14 09:14:22 UTC 2022","Fri Oct 14 09:14:22 UTC 2022","7","","test_pipeline","TestPipeline","","","test stop job",""
"broken","Fri Oct 14 09:14:22 UTC 2022","Fri Oct 14 09:14:22 UTC 2022","7","","test_pipeline","TestPipeline","","","test get job status",""
"failed","Fri Oct 14 09:14:06 UTC 2022","Fri Oct 14 09:14:11 UTC 2022","5136","","test_datasource","TestDataSource","","","test mysql form valid",""
"broken","Fri Oct 14 09:14:21 UTC 2022","Fri Oct 14 09:14:21 UTC 2022","8","","test_pipeline","TestPipeline","","","table merge in sync",""
"broken","Fri Oct 14 09:14:22 UTC 2022","Fri Oct 14 09:14:22 UTC 2022","10","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Fri Oct 14 09:14:21 UTC 2022","Fri Oct 14 09:14:21 UTC 2022","0","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"failed","Fri Oct 14 09:14:11 UTC 2022","Fri Oct 14 09:14:21 UTC 2022","10170","","test_datasource","TestDataSource","","","create PG datasource with form",""
"broken","Fri Oct 14 09:14:21 UTC 2022","Fri Oct 14 09:14:21 UTC 2022","9","","test_pipeline","TestPipeline","","","filter column in sync",""
"broken","Fri Oct 14 09:14:21 UTC 2022","Fri Oct 14 09:14:21 UTC 2022","26","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"broken","Fri Oct 14 09:14:21 UTC 2022","Fri Oct 14 09:14:21 UTC 2022","9","","test_pipeline","TestPipeline","","","filter row in sync",""
"failed","Fri Oct 14 09:13:45 UTC 2022","Fri Oct 14 09:13:50 UTC 2022","5681","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"broken","Fri Oct 14 09:14:22 UTC 2022","Fri Oct 14 09:14:22 UTC 2022","8","","test_pipeline","TestPipeline","","","test_check",""
"broken","Fri Oct 14 09:14:21 UTC 2022","Fri Oct 14 09:14:22 UTC 2022","11","","test_pipeline","TestPipeline","","","config job",""
"broken","Fri Oct 14 09:14:21 UTC 2022","Fri Oct 14 09:14:21 UTC 2022","9","","test_pipeline","TestPipeline","","","rename column in sync",""
"broken","Fri Oct 14 09:14:21 UTC 2022","Fri Oct 14 09:14:21 UTC 2022","12","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Fri Oct 14 09:14:21 UTC 2022","Fri Oct 14 09:14:21 UTC 2022","8","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"failed","Fri Oct 14 09:13:51 UTC 2022","Fri Oct 14 09:13:56 UTC 2022","5156","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
