"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","9","","test_pipeline","TestPipeline","","","filter row in sync",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","30","","test_pipeline","TestPipeline","","","config job",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","28","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","10","","test_pipeline","TestPipeline","","","rename column in sync",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","11","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","9","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","11","","test_pipeline","TestPipeline","","","test stop job",""
"failed","Wed Oct 26 06:19:36 UTC 2022","Wed Oct 26 06:19:41 UTC 2022","5450","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","9","","test_pipeline","TestPipeline","","","test get job status",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","14","","test_pipeline","TestPipeline","","","test_check",""
"failed","Wed Oct 26 06:20:02 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","10162","","test_datasource","TestDataSource","","","create PG datasource with form",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","1","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"failed","Wed Oct 26 06:19:57 UTC 2022","Wed Oct 26 06:20:02 UTC 2022","5144","","test_datasource","TestDataSource","","","test mysql form valid",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","8","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","16","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","18","","test_pipeline","TestPipeline","","","filter column in sync",""
"failed","Wed Oct 26 06:19:46 UTC 2022","Wed Oct 26 06:19:57 UTC 2022","10223","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"failed","Wed Oct 26 06:19:41 UTC 2022","Wed Oct 26 06:19:46 UTC 2022","5147","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"broken","Wed Oct 26 06:20:12 UTC 2022","Wed Oct 26 06:20:12 UTC 2022","9","","test_pipeline","TestPipeline","","","table merge in sync",""
