"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","7","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"failed","Wed Oct 26 07:04:51 UTC 2022","Wed Oct 26 07:04:56 UTC 2022","5130","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"failed","Wed Oct 26 07:05:07 UTC 2022","Wed Oct 26 07:05:12 UTC 2022","5121","","test_datasource","TestDataSource","","","test mysql form valid",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","0","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","11","","test_pipeline","TestPipeline","","","table merge in sync",""
"failed","Wed Oct 26 07:05:12 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","10144","","test_datasource","TestDataSource","","","create PG datasource with form",""
"failed","Wed Oct 26 07:04:56 UTC 2022","Wed Oct 26 07:05:07 UTC 2022","10187","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","9","","test_pipeline","TestPipeline","","","filter column in sync",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","7","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","9","","test_pipeline","TestPipeline","","","test stop job",""
"failed","Wed Oct 26 07:04:46 UTC 2022","Wed Oct 26 07:04:51 UTC 2022","5456","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","6","","test_pipeline","TestPipeline","","","test_check",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","7","","test_pipeline","TestPipeline","","","test get job status",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","12","","test_pipeline","TestPipeline","","","rename column in sync",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","25","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","8","","test_pipeline","TestPipeline","","","config job",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","8","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","9","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Wed Oct 26 07:05:22 UTC 2022","Wed Oct 26 07:05:22 UTC 2022","8","","test_pipeline","TestPipeline","","","filter row in sync",""
