"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","26","","test_pipeline","TestPipeline","","","real time database migrate between mongodb",""
"failed","Tue Oct 18 11:01:00 UTC 2022","Tue Oct 18 11:01:10 UTC 2022","10166","","test_datasource","TestDataSource","","","create PG datasource with form",""
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","9","","test_pipeline","TestPipeline","","","filter column in sync",""
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","10","","test_pipeline","TestPipeline","","","test monitor job status",""
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","8","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","14","","test_pipeline","TestPipeline","","","test get job status",""
"failed","Tue Oct 18 11:00:45 UTC 2022","Tue Oct 18 11:00:55 UTC 2022","10216","","test_datasource","TestDataSource","","","create mongodb datasource with uri",""
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","10","","test_pipeline","TestPipeline","","","table merge in sync",""
"failed","Tue Oct 18 11:00:40 UTC 2022","Tue Oct 18 11:00:45 UTC 2022","5122","","test_datasource","TestDataSource","","","create mongodb datasource with form",""
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","11","","test_pipeline","TestPipeline","","","js udf in sync",""
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","10","","test_pipeline","TestPipeline","","","test stop job",""
"failed","Tue Oct 18 11:00:34 UTC 2022","Tue Oct 18 11:00:40 UTC 2022","5557","","test_datasource","TestDataSource","","","create datasource with mongodb uri",""
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","13","","test_pipeline","TestPipeline","","","test_check",""
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","9","","test_pipeline","TestPipeline","","","real time table sync between mongodb",""
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","9","","test_pipeline","TestPipeline","","","rename column in sync",""
"broken","Tue Oct 18 11:01:10 UTC 2022","Tue Oct 18 11:01:10 UTC 2022","0","","test_datasource","TestDataSource","","","create Kafka datasource with form",""
"failed","Tue Oct 18 11:00:55 UTC 2022","Tue Oct 18 11:01:00 UTC 2022","5128","","test_datasource","TestDataSource","","","test mysql form valid",""
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","9","","test_pipeline","TestPipeline","","","filter row in sync",""
"broken","Tue Oct 18 11:01:11 UTC 2022","Tue Oct 18 11:01:11 UTC 2022","9","","test_pipeline","TestPipeline","","","config job",""
